鄉鎮市區,交易標的,土地移轉總面積(平方公尺),使用分區或編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
左營區,房地(土地+建物),10.3,商,1050109,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,1021111,144,3,2,2,有,有,有,28000,194,無,0,0,
左營區,房地(土地+建物),11.04,住,1050116,土地1建物1車位0,七層,26,住宅大樓(11層含以上有電梯),住家用,870217,141.93,3,2,2,有,有,有,25000,176,無,0,0,
岡山區,建物,84,住,1050127,土地0建物1車位0,全,4,透天厝,住商用,940926,93.97,0,0,0,無,無,無,15000,160,無,0,0,只出租1、2樓。
大社區,房地(土地+建物),11.44,商,1021005,土地1建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,840817,81.73,3,2,2,有,無,無,7000,86,無,0,0,原申報書序號C1EI10211010003撤銷
前鎮區,房地(土地+建物),30.31,住,1030824,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,830809,137.97,3,2,2,有,無,有,14000,101,無,0,0,依中華民國105年1月18日高市地政籍字第10530103800號函辦理 原申報書序號C1EC10310180002
楠梓區,房地(土地+建物),27.82,住,1041212,土地1建物1車位0,全,2,透天厝,住商用,790621,138.87,0,2,2,有,無,無,15000,108,無,0,0,
三民區,房地(土地+建物),74.32,商,1050130,土地1建物1車位0,見其他登記事項,3,店面(店鋪),,640611,151.2,0,0,0,無,無,有,38000,251,無,0,0,
前鎮區,建物,0,商,1050122,土地0建物1車位0,全,4,透天厝,,650616,222.8,5,3,4,有,無,有,33000,148,無,0,0,
苓雅區,建物,0,住,1050127,土地0建物1車位0,全,6,透天厝,,690202,201.58,0,0,0,無,無,無,18000,89,無,0,0,透天6樓;僅承租地下室及一樓前半部份
苓雅區,建物,0,商,1050203,土地0建物1車位0,九層,12,辦公商業大樓,,781109,56,0,0,0,無,有,無,9000,161,無,0,0,續約1個月
前鎮區,建物,0,商,1050130,土地0建物1車位1,十四層,27,住宅大樓(11層含以上有電梯),住家用,960509,211.39,4,2,2,有,有,有,30000,142,坡道平面,23.87,0,
三民區,建物,0,住,1050203,土地0建物1車位1,五層,12,辦公商業大樓,,800301,125.71,0,0,0,無,有,無,17500,139,坡道機械,0,0,
左營區,房地(土地+建物),52,住,1021001,土地1建物1車位0,全,2,透天厝,,680202,64.56,3,2,2,有,無,無,9000,139,無,0,0,
岡山區,房地(土地+建物),22.17,住,1050104,土地1建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,830120,121.96,2,3,1,有,無,有,12500,102,無,0,0,
鳳山區,建物,127,住,1050202,土地0建物1車位0,全,4,透天厝,住商用,670721,220.8,4,2,4,有,無,無,25000,113,無,0,0,
三民區,房地(土地+建物),208,商,1050125,土地1建物1車位0,一層,8,華廈(10層含以下有電梯),住商用,830927,164.65,0,0,0,無,無,無,80000,486,無,0,0,
三民區,建物,0,商,1050110,土地0建物0車位0,見其他登記事項,3,店面(店鋪),住商用,570510,115.18,1,2,1,有,無,無,40000,347,無,0,0,
左營區,房地(土地+建物),8.67,商,1050201,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,1030327,114.64,2,2,1,有,有,有,30000,262,無,0,0,
左營區,房地(土地+建物),13.29,住,1050201,土地1建物1車位0,見其它登記事項,14,店面(店鋪),住商用,870826,153.74,3,2,4,有,有,無,23000,150,無,0,0,租賃層次:1樓+2樓+夾層
前鎮區,房地(土地+建物),24.07,住,1050202,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,821002,169.35,4,2,2,有,有,無,15000,89,無,0,0,
前鎮區,建物,0,商,1050204,土地0建物1車位0,見其它登記事項,27,住宅大樓(11層含以上有電梯),住商用,860527,310.22,5,1,2,有,有,有,48000,155,無,0,0,
前鎮區,房地(土地+建物),88.57,商,1050202,土地1建物1車位0,全,4,透天厝,住商用,960312,207.5,5,2,4,有,無,無,35000,169,無,0,0,
鼓山區,建物,8.66,住,1050130,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,940802,97,2,1,1,有,無,有,13009,134,無,0,0,
新興區,建物,0,,1030826,土地0建物1車位0,見其他登記事項,7,華廈(10層含以下有電梯),,771216,131.33,0,0,0,無,無,無,102272,779,無,0,0,
新興區,建物,0,商,1050125,土地0建物1車位0,一層,12,店面(店鋪),,720428,102.01,2,2,1,有,有,無,15000,147,無,0,0,
苓雅區,房地(土地+建物),70,商,1050204,土地1建物1車位0,全,3,透天厝,,630813,185.33,0,0,0,無,無,無,33000,178,無,0,0,
苓雅區,建物,80,商,1050128,土地0建物1車位0,全,3,透天厝,,640325,65.45,0,0,0,無,無,無,12000,183,無,0,0,
苓雅區,房地(土地+建物),80,商,1050128,土地1建物1車位0,全,3,透天厝,,640325,65.45,0,0,0,無,無,無,18000,275,無,0,0,
鼓山區,房地(土地+建物),16.18,商,1050204,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,940804,148.73,4,2,2,有,有,有,19500,131,無,0,0,不含車位出租
鼓山區,房地(土地+建物)+車位,17.8,住,1050119,土地1建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,1030212,203.79,3,2,2,有,有,有,35000,172,坡道平面,0,0,
前鎮區,房地(土地+建物),4.69,商,1050108,土地1建物1車位0,二十九層,,住宅大樓(11層含以上有電梯),,,110.54,3,2,2,有,無,有,30000,271,無,0,0,
左營區,建物,5.95,住,1050204,土地0建物1車位0,四層,27,住宅大樓(11層含以上有電梯),住家用,830811,76.74,2,1,1,有,無,無,18970,247,無,0,0,
左營區,房地(土地+建物),11.19,住,1050111,土地1建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,1030429,107.9,1,1,1,有,有,有,20000,185,無,0,0,含管理費
左營區,房地(土地+建物)+車位,8.93,商,1050112,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,1031104,113.62,2,1,1,有,有,有,18000,158,坡道平面,0,0,
